transaction_date,user_id,transaction_amount,merchant_type,channel,balance_before,balance_after,is_fraud
2025-11-03 00:00:00.000000,USR010,4156.15,Healthcare,ATM,33329.37,29173.22,0
2025-11-20 12:14:45.718435,USR009,1083.33,Electronics,ONLINE,22684.51,21601.18,0
2025-01-26 11:49:00.000000,USR016,1775.5,Clothing,ONLINE,23453.16,21677.66,0
2025-06-23 13:20:45.718435,USR016,911.45,Restaurant,ONLINE,25605.42,24693.97,0
2025-04-11 10:09:45.718435,USR020,1807.86,Healthcare,ATM,29671.49,27863.63,0
2025-04-12 05:21:45.718435,USR011,959.05,Restaurant,POS,27263.22,25062.68,0
2025-05-21 10:03:45.718435,USR001,2443.55,Travel,POS,26573.96,24130.42,0
2025-01-02 13:56:45.718435,USR007,1000.85,Online Shopping,ONLINE,23748.36,22747.51,0
2025-08-20 17:54:45.718435,USR018,12426.84,Unknown,ATM,25641.41,13214.56,1
2025-08-11 12:51:45.718435,USR013,3270.34,Gas Station,ONLINE,28685.035,42554.23,0
2025-05-12 12:15:45.718435,USR012,2463.67,Electronics,ONLINE,19841.6,17377.93,0
2025-01-04 02:23:45.000000,USR015,3248.26,Grocery,POS,40244.76,26706.25,0
2025-03-22 22:22:45.718435,USR001,2188.46,Clothing,ONLINE,26712.83,24524.38,0
2025-07-31 07:19:45.718435,USR017,1986.39,Gas Station,ONLINE,34008.46,32022.07,0
2025-03-18 21:26:45.718435,USR020,842.99,Unknown,ONLINE,25785.29,24942.3,0
2025-06-20 00:00:00.000000,USR003,15088.99,Unknown,ONLINE,31084.09,15995.1,1
2025-03-28 16:40:45.718435,USR010,1100.47,Grocery,ONLINE,33881.79,32781.32,0
2025-06-10 17:56:45.718435,USR005,12372.7,Clothing,ATM,41180.16,28807.45,0
2025-08-06 00:22:45.718435,USR010,782.87,Electronics,POS,35945.5,35162.64,0
2025-01-17 13:43:45.718435,USR014,1162.75,Clothing,POS,18208.02,17045.26,0
2025-11-21 08:25:45.000000,USR014,854.01,Entertainment,ATM,17870.79,17016.77,0
2025-04-23 17:57:45.718435,USR010,25553.318000000007,Electronics,ATM,33818.25,7047.8708,1
2025-06-21 03:33:00.000000,USR013,34.26,Entertainment,ONLINE,48639.976,46811.329600000005,0
2025-01-10 12:39:45.718435,USR008,135.83,Grocery,ONLINE,39284.73,39148.9,0
2025-06-23 13:58:45.718435,USR009,1226.18,Healthcare,ONLINE,26824.37,25598.19,0
2025-03-04 04:20:45.718435,USR007,246.52,Travel,ONLINE,18985.08,18738.56,0
2025-07-17 00:00:00.000000,USR011,748.22,Restaurant,POS,32388.26,31640.04,0
2025-05-29 13:13:45.718435,USR005,49.05,Utilities,ONLINE,41800.29,41751.24,0
2025-05-28 00:00:00.000000,USR001,1631.23,Online Shopping,POS,28486.66,26855.43,0
2025-09-12 18:50:45.718435,USR015,5015.14,Electronics,ONLINE,42855.36,37840.22,0
2025-02-02 08:12:00.000000,USR016,625.86,Unknown,POS,27383.36,26757.5,0
2025-03-09 10:28:45.718435,USR019,1238.41,Grocery,ONLINE,28685.035,33058.98,0
2025-10-29 06:35:45.718435,USR013,2349.93,Utilities,ATM,44110.15,41760.22,0
2025-05-14 15:33:45.718435,USR008,25553.318000000007,Online Shopping,ONLINE,35330.94,7047.8708,1
2025-05-22 02:48:45.718435,USR001,904.46,Online Shopping,ONLINE,25930.97,25026.5,0
2025-04-18 05:49:45.718435,USR013,1154.85,Grocery,ATM,46028.51,44873.66,0
2025-06-27 00:10:45.718435,USR009,28.32,Travel,POS,21647.35,21619.03,0
2025-09-23 00:33:45.718435,USR020,4346.5,Entertainment,ATM,30253.34,25906.84,0
2025-11-27 07:38:45.718435,USR014,211.65,Electronics,POS,21352.39,21140.74,0
2025-07-22 16:09:45.718435,USR017,25552.19,Online Shopping,ATM,34389.13,8836.94,1
2025-01-17 19:53:45.718435,USR006,2882.34,Online Shopping,ONLINE,30678.7,27796.36,0
2025-11-16 06:00:45.718435,USR020,704.53,Gas Station,POS,27645.13,26940.6,0
